3,13.58,2.58,2.69,24.50,105,1.55,0.84,0.39,1.54,8.66,0.74,1.80,750
3,13.40,4.60,2.86,25,112,1.98,0.96,0.27,1.11,8.50,0.67,1.92,630
3,12.20,3.03,2.32,19,96,1.25,0.49,0.40,0.73,5.50,0.66,1.83,510
3,12.77,2.39,2.28,19.50,86,1.39,0.51,0.48,0.64,9.90,0.57,1.63,470
3,14.16,2.51,2.48,20,91,1.68,0.70,0.44,1.24,9.70,0.62,1.71,660
3,13.71,5.65,2.45,20.50,95,1.68,0.61,0.52,1.06,7.70,0.64,1.75,740
3,13.40,3.91,2.48,23,102,1.80,0.75,0.43,1.41,7.30,0.70,1.56,750
3,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.20,0.59,1.56,835
3,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.30,0.60,1.62,840
3,14.13,4.10,2.74,24.50,96,2.05,0.76,0.56,1.35,9.20,0.61,1.60,560
2,12.08,2.08,1.70,17.50,97,2.23,2.17,0.26,1.40,3.30,1.27,2.96,710
2,12.60,1.34,1.90,18.50,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562
2,12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.80,0.80,3.38,438
2,11.82,1.72,1.88,19.50,86,2.50,1.64,0.37,1.42,2.06,0.94,2.44,415
2,12.51,1.73,1.98,20.50,85,2.20,1.92,0.32,1.48,2.94,1.04,3.57,672
2,12.42,2.55,2.27,22,90,1.68,1.84,0.66,1.42,2.70,0.86,3.30,315
2,12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,3.40,1,3.17,510
2,12.72,1.75,2.28,22.50,84,1.38,1.76,0.48,1.63,3.30,0.88,2.42,488
2,12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.70,0.86,3.02,312
2,11.61,1.35,2.70,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680
2,11.46,3.74,1.82,19.50,107,3.18,2.58,0.24,3.58,2.90,0.75,2.81,562
2,12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.90,2.78,325
2,11.76,2.68,2.92,20,103,1.75,2.03,0.60,1.05,3.80,1.23,2.50,607
2,11.41,0.74,2.50,21,88,2.48,2.01,0.42,1.44,3.08,1.10,2.31,434
2,12.08,1.39,2.50,22.50,84,2.56,2.29,0.43,1.04,2.90,0.93,3.19,385
2,11.03,1.51,2.20,21.50,85,2.46,2.17,0.52,2.01,1.90,1.71,2.87,407
2,11.82,1.47,1.99,20.80,86,1.98,1.60,0.30,1.53,1.95,0.95,3.33,495
2,12.42,1.61,2.19,22.50,108,2,2.09,0.34,1.61,2.06,1.06,2.96,345
2,12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.40,0.70,2.12,372
2,12,3.43,2,19,87,2,1.64,0.37,1.87,1.28,0.93,3.05,564
2,11.45,2.40,2.42,20,96,2.90,2.79,0.32,1.83,3.25,0.80,3.39,625
2,11.56,2.05,3.23,28.50,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465
2,12.42,4.43,2.73,26.50,102,2.20,2.13,0.43,1.71,2.08,0.92,3.12,365
2,13.05,5.80,2.13,21.50,86,2.62,2.65,0.30,2.01,2.60,0.73,3.10,380
2,11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.80,0.75,3.64,380
2,12.07,2.16,2.17,21,85,2.60,2.65,0.37,1.35,2.76,0.86,3.28,378
2,12.43,1.53,2.29,21.50,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352
2,11.79,2.13,2.78,28.50,92,2.13,2.24,0.58,1.76,3,0.97,2.44,466
2,12.37,1.63,2.30,24.50,88,2.22,2.45,0.40,1.90,2.12,0.89,2.78,342
2,12.04,4.30,2.38,22,80,2.10,1.75,0.42,1.35,2.60,0.79,2.57,580
1,13.41,3.84,2.12,18.80,90,2.45,2.68,0.27,1.48,4.28,0.91,3,1035
1,13.88,1.89,2.59,15,101,3.25,3.56,0.17,1.70,5.43,0.88,3.56,1095
1,13.24,3.98,2.29,17.50,103,2.64,2.63,0.32,1.66,4.36,0.82,3,680
1,13.05,1.77,2.10,17,107,3,3,0.28,2.03,5.04,0.88,3.35,885
1,14.21,4.04,2.44,18.90,111,2.85,2.65,0.30,1.25,5.24,0.87,3.33,1080
1,14.38,3.59,2.28,16,102,3.25,3.17,0.27,2.19,4.90,1.04,3.44,1065
1,13.90,1.68,2.12,16,101,3.10,3.39,0.21,2.14,6.10,0.91,3.33,985
1,14.10,2.02,2.40,18.80,103,2.75,2.92,0.32,2.38,6.20,1.07,2.75,1060
1,13.94,1.73,2.27,17.40,108,2.88,3.54,0.32,2.08,8.90,1.12,3.10,1260
1,13.05,1.73,2.04,12.40,92,2.72,3.27,0.17,2.91,7.20,1.12,2.91,1150
1,13.83,1.65,2.60,17.20,94,2.45,2.99,0.22,2.29,5.60,1.24,3.37,1265
1,13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190
1,13.77,1.90,2.68,17.10,115,3,2.79,0.39,1.68,6.30,1.13,2.93,1375
1,13.74,1.67,2.25,16.40,118,2.60,2.90,0.21,1.62,5.85,0.92,3.20,1060
1,13.56,1.73,2.46,20.50,116,2.96,2.78,0.20,2.45,6.25,0.98,3.03,1120
1,14.22,1.70,2.30,16.30,118,3.20,3,0.26,2.03,6.38,0.94,3.31,970
1,13.29,1.97,2.68,16.80,102,3,3.23,0.31,1.66,6,1.07,2.84,1270
1,13.72,1.43,2.50,16.70,108,3.40,3.67,0.19,2.04,6.80,0.89,2.87,1285
